6.68,10.64,14.37
6.8,11.19,14.32
5.25,10.26,14.56
7.3,9.68,12.68
7.15,8.14,14.82
5.14,10.38,12.67
7.31,9.29,13.26
7.01,9.7,12.95
6.15,12.33,14.07
5.35,8.5,14.33
6.72,10.41,13.1
5.48,10.54,13.99
7.41,12.33,13.06
5.27,9.09,14.96
6.28,8.01,13.15
6.96,9.28,13.38
5.95,8.73,12.61
5.68,11.13,14.37
6.57,8.87,13.34
5.28,12.38,13.92
6.52,8.53,13.22
6.64,8.97,14.86
5.62,12.4,14.13
5.34,11.71,14.83
6.23,8.71,13.5
6.3,12.06,14.88
6.01,11.49,14.18
5.52,8.55,13.49
5.7,10.45,14.56
6.35,7.92,13.63
5.67,10.09,14.04
6.05,12.17,13.67
5.48,11.76,14.46
5.25,9.27,12.98
6.42,10.32,12.99
7.31,9.77,14.96
6.3,10.06,14.9
6.06,8.62,14.73
6.86,9.67,14.93
7.48,11.34,14.91
7.4,7.72,14.21
6.76,10.07,14.53
6.93,11.11,14.97
5.16,11.25,12.68
5.26,9.71,13.61
5.21,10.75,14.29
6.76,12.25,13.46
6.98,11.14,13.63
7,10.04,14.05
5.82,8.81,14.46
6.95,10.81,13.75
5.88,8.42,13.45
6.19,9.93,14.95
6.89,11.09,14.25
6.55,8.91,14.05
5.8,8.02,14.15
6.26,11.59,13.53
6.84,7.54,12.88
7.09,8.89,13.35
6.7,7.84,14.43
7.21,10.82,12.73
5.85,8.41,14.44
5.57,9.97,13.42
5.93,11.74,12.78
5.98,12.26,14.39
7.49,9.16,13.24
6.77,11.43,13.97
6.82,11.97,12.94
6.69,7.78,14.39
5.63,9.76,14.92
5.38,9.25,13.85
5.01,9.17,12.76
6.38,11.13,14.14
6.14,10.42,12.64
5.61,7.66,14.54
6.76,8.38,14.29
6.9,10.62,12.8
7.45,11.1,12.87
6.9,9.63,14.26
7.19,10.49,14.04
6.67,8.45,12.51
6.66,8.95,13.04
7.12,10.41,14.49
7.33,8.61,13.45
6.97,7.77,13.25
7.01,9.93,12.66
5.43,9.53,12.88
5.23,7.57,14.9
6.32,9.99,13.42
6.33,12.41,12.99
5.4,9.91,13.21
5,9.72,13.63
5.75,9.25,12.87
5,10.38,12.88
7.45,8.19,14.34
5.72,11.57,13.07
5.62,12.45,14.49
7.38,10.12,12.98
6.38,10.46,13.39
