8.58,1.69
0.76,0.44
9.44,1.04
8.07,1.4
3.44,1.55
7.85,1.93
9.99,1.74
7.32,1.95
2.53,1.53
8.77,1.88
5.61,0.79
5.44,1.48
8.65,0.71
4.74,0.63
1.03,1.89
8.2,1.8
2.57,0.81
4.03,1.32
3.46,1.9
6.59,1.3
4.4,1.91
8.82,1.31
3.59,0.9
0.5,0.51
4.9,0.84
0.73,1.33
5.1,0.74
7.01,1.73
7.38,0.31
2.67,1.75
4.97,2
1.65,0.69
2.1,1.42
1.42,0.85
1.68,1
4.16,1.22
7.94,1.17
8.97,0.79
1.28,1.78
3.64,1.74
0.22,0.47
8.99,0.61
6.53,1.9
4.2,1.38
7.85,1.53
4.46,1.88
3.58,1.51
2.31,1.87
1.63,1.44
8.25,1.44
9.54,1.49
7.77,0.73
2.41,1.74
6.04,1.9
8.3,0.5
7.72,1.83
2.99,1.11
5.91,1.41
3.86,1.41
9.73,0.83
5.4,1.95
4.7,1.79
2.51,0.71
8.47,1.09
4.83,1.25
5.54,0.95
6.48,0.93
6.5,0.87
2.89,1.76
3.72,1.94
2.57,1.54
1.83,0.88
0.18,0.78
2.6,0.97
3.02,0.57
0.05,1.47
2.87,1.37
9.04,1.53
4.15,1.71
2.29,1.25
3.94,1.72
8.07,0.96
1.5,1.01
0.31,1.26
0.37,1.13
7.95,0.66
2.51,1.54
2.12,1.43
3.3,0.37
6.71,0.76
6.16,0.57
4.94,1.57
1.54,0.55
9.1,1.32
3.42,1.2
6.22,1.88
6.4,1.72
9.58,1.87
7.21,1.53
8,1.78
9.53,1.55
5.21,1.76
6.85,0.39
8.54,1.85
1.88,0.36
6.06,0.77
0.41,0.79
2.26,1.39
5.07,0.65
4.38,0.7
6.78,1.67
1.14,0.58
2.36,1.42
5.65,1.52
3.18,0.71
0.46,1.92
2.08,1.04
3.48,1.33
0.42,1.75
2.49,0.52
0.44,0.46
0.34,1.64
0.07,1.23
2.89,0.5
7.08,0.8
7.85,0.93
0.35,1.29
2.15,0.48
7.79,1.25
1.72,1.85
5.93,0.91
5.7,1.69
7.82,0.93
9,1.24
9.87,1.8
6.3,1.66
7.37,1.79
0.02,1.94
1.57,1.32
6.28,1.94
7.11,1.01
7.73,0.83
8.28,1.79
6,1.13
6.95,0.41
4.8,1.22
5.63,0.53
4.75,0.6
3.39,0.39
0.27,0.42
6.46,1.12
3.81,1.72
4.51,1.06
4.41,1.08
9.64,1.09
4.19,0.32
1.72,1.55
2.51,0.51
8.97,1.96
6.57,1.08
9.98,1.85
5.96,1.94
7.06,1.36
2.56,1.69
8.51,0.82
7.41,1.8
8.94,0.94
9.96,0.82
4.11,0.82
3.66,0.81
1.59,1.51
7.17,1.43
0.8,1.31
9.19,0.4
7.17,1.47
4.2,0.48
4.12,0.7
4.62,0.73
4.16,0.77
7.73,0.65
1.85,0.66
0.54,1.21
9.71,1.13
1.32,1.24
8.66,0.32
0.95,0.78
9.16,1.79
3.88,1.97
8.71,0.69
7.74,0.94
1,1.33
1.23,0.9
4.88,0.62
8.36,1.1
4.45,1.54
3.95,1.6
6.54,1.22
9.84,0.58
5.15,1.84
3.8,0.84
6.3,0.46
8.33,0.94
3.41,0.46
5.17,0.96
1.69,0.52
6.14,1.46
4.69,1.61
3.18,1.4
3.3,0.92
2.63,1.94
5.57,1.94
3.57,0.75
1.6,1.97
6.49,1.52
9,0.66
3.77,0.81
4.67,0.44
5.89,1.02
7.54,1.77
0.97,1.95
2.21,1.27
9.42,1.52
0.96,1.35
0.55,0.36
0.37,1.96
9.16,1.4
0.73,1.51
2.93,1.57
6.72,1.02
8.82,2
7.94,0.56
1.25,1.54
2.76,1.03
4.16,1.11
1.47,1.64
8.64,1.18
8.8,0.94
7.35,1.91
7.1,0.75
3.95,1.54
2.85,1.74
0.28,0.8
2.43,1.27
3.99,1.65
6.85,1.61
0.73,0.65
4.34,1.44
7.54,1.91
1.1,1.91
3.85,1.11
5.33,0.98
0.48,0.66
6.33,1.18
9.23,1.58
7.59,0.35
6.65,0.81
3.08,0.87
5.05,1.24
1.91,1.15
9.74,1.53
0.58,1.55
1.38,1.29
2.16,0.92
7.5,1.12
8.8,1.96
9.91,1.6
8.69,0.88
1.39,1.52
1.63,0.48
4.01,1.02
6.67,1.68
0.02,1.78
9.79,1.55
0.17,1.37
4.72,1.92
3.67,1.32
6.55,1.13
4.61,0.56
7.23,0.92
3.42,0.8
6.43,0.74
7.57,0.94
8.1,1.07
3.93,1.53
9.13,1.59
6.49,0.92
5.29,0.84
7.24,0.44
1.65,1.78
8.37,1.95
7.01,1.28
9.45,0.93
2.7,0.87
4.71,0.6
8.19,0.36
6.7,0.48
2.8,1.47
2.83,1
9.95,1.12
6.79,1.19
5.02,1.69
4.73,1.05
1.25,1.43
1.02,1.9
3.7,1.34
9.26,1.9
3.33,2
7.16,0.77
7.35,1.49
9.9,1.87
5.59,1.71
2.94,1.03
9.84,0.62
9.87,0.72
1.43,1.82
9.05,0.78
7.87,1.83
8.48,1.64
4.77,0.42
8.32,1.31
5.28,1.85
9.95,1.02
5.45,0.96
0.16,1.65
6.37,1.2
6.64,1.41
3.75,0.49
4.65,0.51
1.47,1.42
8.51,1.67
6.4,1.11
0.57,1.13
4.78,1.74
9.37,0.42
7.01,0.5
7.36,0.34
2.94,1.63
2.13,1.99
5.14,0.54
3.66,1.27
8.52,1.52
0.17,0.53
4.77,1.74
1.31,0.59
4.71,1.64
4.25,0.89
1.06,0.75
8,1.94
1.08,0.86
3.68,0.59
9.74,1.44
9,1.8
2.78,1.04
3.04,1.2
2.76,0.94
7.72,0.87
0.7,0.64
1.5,1.87
8.4,1.22
0.47,1.8
5.16,0.76
5.56,1.22
4.69,1.3
6.99,0.74
8.41,0.38
7.08,0.95
4.94,0.4
0.53,1.6
5.4,0.45
7.49,1.55
3.47,0.98
1.04,1.17
0.38,1.69
4.94,0.61
1.78,1.02
7.27,0.42
9.73,1.11
6.13,1.27
3.78,1.37
6.69,0.89
1.13,0.94
8.31,0.72
8.57,0.68
2.16,0.43
8.43,1.61
5.22,0.83
6.65,0.51
8.76,1.57
3.74,1.36
4.08,1.93
9.19,1.94
9.8,1.97
1.82,1.22
0.77,1.47
7.86,1.8
3.43,1.82
4.67,0.61
7.21,0.8
8.41,0.98
3.21,0.76
10,1.23
7.05,1.61
6.48,0.72
